month,naics_code,kind_of_business,value
2024-11-01,4411,Automobile dealers,116754
2024-11-01,44111,New car dealers,104327
2024-11-01,44112,Used car dealers,12427
2024-11-01,4413,"Automotive parts, acc., and tire stores",11281
2024-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",21521
2024-11-01,442,Furniture and home furnishings stores,12580
2024-11-01,4421,Furniture stores,6729
2024-11-01,443,Electronics and appliance stores,8941
2024-11-01,443141,Household appliance stores,1807
2024-11-01,443142,Electronics stores,7134
2024-11-01,444,Building mat. and garden equip. and supplies dealers,40098
2024-11-01,4441,Building mat. and supplies dealers,35341
2024-11-01,44412,Paint and wallpaper stores,1272
2024-11-01,44413,Hardware stores,3516
2024-11-01,445,Food and beverage stores,86042
2024-11-01,4451,Grocery stores,76589
2024-11-01,44511,Supermarkets and other grocery (except convenience) stores,73585
2024-11-01,4453,"Beer, wine, and liquor stores",6577
2024-11-01,446,Health and personal care stores,37674
2024-11-01,44611,Pharmacies and drug stores,31439
2024-11-01,447,Gasoline stations,49188
2024-11-01,448,Clothing and clothing access. stores,29762
2024-11-01,4481,Clothing stores,22012
2024-11-01,44812,Women's clothing stores,3562
2024-11-01,44814,Family clothing stores,13711
2024-11-01,44819,Other clothing stores,1749
2024-11-01,4482,Shoe stores,3278
2024-11-01,451,"Sporting goods, hobby, musical instrument, and book stores",9337
2024-11-01,45111,Sporting goods stores,5018
2024-11-01,45112,"Hobby, toy, and game stores",2904
2024-11-01,451211,Book stores,605
2024-11-01,452,General merchandise stores,81588
2024-11-01,4521,Department stores,12207
2024-11-01,452111,Department stores(excl. discount department stores),3099
2024-11-01,452112,Discount dept. stores,9108
2024-11-01,4529,Other general merchandise stores,69381
2024-11-01,45291,Warehouse clubs and superstores,59231
2024-11-01,45299,All other gen. merchandise stores,10150
2024-11-01,453,Miscellaneous store retailers,14535
2024-11-01,4532,"Office supplies, stationery, and gift stores",2192
2024-11-01,45321,Office supplies and stationery stores,574
2024-11-01,45322,"Gift, novelty, and souvenir stores",1618
2024-11-01,45330,Used merchandise stores,2089
2024-11-01,454,Nonstore retailers,137992
2024-11-01,4541,Electronic shopping and mail-order houses,129707
2024-11-01,45431,Fuel dealers,2942
2024-11-01,722,Food services and drinking places,94512
2024-11-01,7225,Restaurants and other eating places,83506
2024-11-01,"722513, 722514, 722515",Limited service eating places,41371
2024-10-01,no code,"Retail and food services sales, total",730720
2024-10-01,no code,Retail sales and food services excl motor vehicle and parts,592932
2024-10-01,no code,Retail sales and food services excl gasoline stations,676690
2024-10-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,538902
2024-10-01,no code,"Retail sales, total",633013
2024-10-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",495225
2024-10-01,no code,GAFO(1),131388
2024-10-01,441,Motor vehicle and parts dealers,137788
2024-10-01,"44,114,412",Automobile and other motor vehicle dealers,125638
2024-10-01,4411,Automobile dealers,118498
2024-10-01,44111,New car dealers,105358
2024-10-01,44112,Used car dealers,13140
2024-10-01,4413,"Automotive parts, acc., and tire stores",12150
2024-10-01,"442,443","Furniture, home furn, electronics, and appliance stores",18809
2024-10-01,442,Furniture and home furnishings stores,11446
2024-10-01,4421,Furniture stores,6033
2024-10-01,443,Electronics and appliance stores,7363
2024-10-01,443141,Household appliance stores,1799
2024-10-01,443142,Electronics stores,5564
2024-10-01,444,Building mat. and garden equip. and supplies dealers,44987
2024-10-01,4441,Building mat. and supplies dealers,39378
2024-10-01,44412,Paint and wallpaper stores,1618
2024-10-01,44413,Hardware stores,3680
2024-10-01,445,Food and beverage stores,84687
2024-10-01,4451,Grocery stores,75931
2024-10-01,44511,Supermarkets and other grocery (except convenience) stores,72693
2024-10-01,4453,"Beer, wine, and liquor stores",6104
2024-10-01,446,Health and personal care stores,39693
2024-10-01,44611,Pharmacies and drug stores,33963
2024-10-01,447,Gasoline stations,54030
2024-10-01,448,Clothing and clothing access. stores,25318
2024-10-01,4481,Clothing stores,18357
2024-10-01,44812,Women's clothing stores,2933
2024-10-01,44814,Family clothing stores,11185
2024-10-01,44819,Other clothing stores,1603
2024-10-01,4482,Shoe stores,2833
2024-10-01,451,"Sporting goods, hobby, musical instrument, and book stores",7867
2024-10-01,45111,Sporting goods stores,4610
2024-10-01,45112,"Hobby, toy, and game stores",1874
2024-10-01,451211,Book stores,590
2024-10-01,452,General merchandise stores,76276
2024-10-01,4521,Department stores,10448
2024-10-01,452111,Department stores(excl. discount department stores),2305
2024-10-01,452112,Discount dept. stores,8143
2024-10-01,4529,Other general merchandise stores,65828
2024-10-01,45291,Warehouse clubs and superstores,56508
2024-10-01,45299,All other gen. merchandise stores,9320
2024-10-01,453,Miscellaneous store retailers,16673
2024-10-01,4532,"Office supplies, stationery, and gift stores",3118
2024-10-01,45321,Office supplies and stationery stores,629
2024-10-01,45322,"Gift, novelty, and souvenir stores",2489
2024-10-01,45330,Used merchandise stores,2215
2024-10-01,454,Nonstore retailers,126885
2024-10-01,4541,Electronic shopping and mail-order houses,117553
2024-10-01,45431,Fuel dealers,3066
2024-10-01,722,Food services and drinking places,97707
2024-10-01,7225,Restaurants and other eating places,85793
2024-10-01,"722513, 722514, 722515",Limited service eating places,43775
2024-09-01,no code,"Retail and food services sales, total",683558
2024-09-01,no code,Retail sales and food services excl motor vehicle and parts,555090
2024-09-01,no code,Retail sales and food services excl gasoline stations,632095
2024-09-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,503627
2024-09-01,no code,"Retail sales, total",589777
2024-09-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",461309
2024-09-01,no code,GAFO(1),123313
2024-09-01,441,Motor vehicle and parts dealers,128468
2024-09-01,"44,114,412",Automobile and other motor vehicle dealers,117141
2024-09-01,4411,Automobile dealers,109901
2024-09-01,44111,New car dealers,96915
2024-09-01,44112,Used car dealers,12986
2005-09-01,4482,Shoe stores,1935
2024-09-01,4413,"Automotive parts, acc., and tire stores",11327
2024-09-01,"442,443","Furniture, home furn, electronics, and appliance stores",18298
2024-09-01,442,Furniture and home furnishings stores,11285
2024-09-01,4421,Furniture stores,6097
2024-09-01,443,Electronics and appliance stores,7013
2024-09-01,443141,Household appliance stores,1761
2024-09-01,443142,Electronics stores,5252
2024-09-01,444,Building mat. and garden equip. and supplies dealers,40357
2024-09-01,4441,Building mat. and supplies dealers,35683
2024-09-01,44412,Paint and wallpaper stores,1525
2024-09-01,44413,Hardware stores,3337
2024-09-01,445,Food and beverage stores,81116
2024-09-01,4451,Grocery stores,72811
2024-09-01,44511,Supermarkets and other grocery (except convenience) stores,69663
2024-09-01,4453,"Beer, wine, and liquor stores",5768
2024-09-01,446,Health and personal care stores,37655
2024-09-01,44611,Pharmacies and drug stores,31867
2024-09-01,447,Gasoline stations,51463
2024-09-01,448,Clothing and clothing access. stores,23088
2024-09-01,4481,Clothing stores,16548
2024-09-01,44812,Women's clothing stores,2678
2024-09-01,44814,Family clothing stores,9956
2024-09-01,44819,Other clothing stores,1515
2024-09-01,4482,Shoe stores,2720
2024-09-01,451,"Sporting goods, hobby, musical instrument, and book stores",7761
2024-09-01,45111,Sporting goods stores,4565
2024-09-01,45112,"Hobby, toy, and game stores",1669
2024-09-01,451211,Book stores,772
2024-09-01,452,General merchandise stores,71583
2024-09-01,4521,Department stores,9870
2024-09-01,452111,Department stores(excl. discount department stores),2184
2024-09-01,452112,Discount dept. stores,7686
2024-09-01,4529,Other general merchandise stores,61713
2024-09-01,45291,Warehouse clubs and superstores,53107
2024-09-01,45299,All other gen. merchandise stores,8606
2024-09-01,453,Miscellaneous store retailers,15349
2024-09-01,4532,"Office supplies, stationery, and gift stores",2583
2024-09-01,45321,Office supplies and stationery stores,651
2024-09-01,45322,"Gift, novelty, and souvenir stores",1932
2024-09-01,45330,Used merchandise stores,2179
2024-09-01,454,Nonstore retailers,114639
2024-09-01,4541,Electronic shopping and mail-order houses,106776
2024-09-01,45431,Fuel dealers,2202
2024-09-01,722,Food services and drinking places,93781
2024-09-01,7225,Restaurants and other eating places,82318
2024-09-01,"722513, 722514, 722515",Limited service eating places,41668
2024-08-01,no code,"Retail and food services sales, total",733560
2024-08-01,no code,Retail sales and food services excl motor vehicle and parts,590123
2024-08-01,no code,Retail sales and food services excl gasoline stations,676701
2024-08-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,533264
2024-08-01,no code,"Retail sales, total",633664
2024-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",490227
2024-08-01,no code,GAFO(1),137230
2024-08-01,441,Motor vehicle and parts dealers,143437
2024-08-01,"44,114,412",Automobile and other motor vehicle dealers,131084
2024-08-01,4411,Automobile dealers,122688
2024-08-01,44111,New car dealers,108560
2024-08-01,44112,Used car dealers,14128
2024-08-01,4413,"Automotive parts, acc., and tire stores",12353
2024-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",19596
2024-08-01,442,Furniture and home furnishings stores,11941
2024-08-01,4421,Furniture stores,6333
2024-08-01,443,Electronics and appliance stores,7655
2024-08-01,443141,Household appliance stores,1902
2024-08-01,443142,Electronics stores,5753
2024-08-01,444,Building mat. and garden equip. and supplies dealers,42930
2024-08-01,4441,Building mat. and supplies dealers,38245
2024-08-01,44412,Paint and wallpaper stores,1668
2024-08-01,44413,Hardware stores,3819
2024-08-01,445,Food and beverage stores,85262
2024-08-01,4451,Grocery stores,76348
2024-08-01,44511,Supermarkets and other grocery (except convenience) stores,72877
2024-08-01,4453,"Beer, wine, and liquor stores",6324
2024-08-01,446,Health and personal care stores,38044
2024-08-01,44611,Pharmacies and drug stores,31834
2024-08-01,447,Gasoline stations,56859
2024-08-01,448,Clothing and clothing access. stores,27215
2024-08-01,4481,Clothing stores,19340
2024-08-01,44812,Women's clothing stores,3057
2024-08-01,44814,Family clothing stores,11808
2024-08-01,44819,Other clothing stores,1879
2024-08-01,4482,Shoe stores,4067
2024-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",8893
2024-08-01,45111,Sporting goods stores,5539
2024-08-01,45112,"Hobby, toy, and game stores",1692
2024-08-01,451211,Book stores,881
2024-08-01,452,General merchandise stores,78633
2024-08-01,4521,Department stores,11398
2024-08-01,452111,Department stores(excl. discount department stores),2262
2024-08-01,452112,Discount dept. stores,9136
2024-08-01,4529,Other general merchandise stores,67235
2024-08-01,45291,Warehouse clubs and superstores,58183
2024-08-01,45299,All other gen. merchandise stores,9052
2024-08-01,453,Miscellaneous store retailers,15760
2024-08-01,4532,"Office supplies, stationery, and gift stores",2893
2024-08-01,45321,Office supplies and stationery stores,874
2024-08-01,45322,"Gift, novelty, and souvenir stores",2019
2024-08-01,45330,Used merchandise stores,2092
2024-08-01,454,Nonstore retailers,117035
2024-08-01,4541,Electronic shopping and mail-order houses,109273
2024-08-01,45431,Fuel dealers,2100
2024-08-01,722,Food services and drinking places,99896
2024-08-01,7225,Restaurants and other eating places,89063
2024-08-01,"722513, 722514, 722515",Limited service eating places,45196
2024-07-01,no code,"Retail and food services sales, total",726098
2024-07-01,no code,Retail sales and food services excl motor vehicle and parts,585742
2024-07-01,no code,Retail sales and food services excl gasoline stations,668631
2024-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,528275
2024-07-01,no code,"Retail sales, total",629309
2024-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",488953
2024-07-01,no code,GAFO(1),129958
2024-07-01,441,Motor vehicle and parts dealers,140356
2024-07-01,"44,114,412",Automobile and other motor vehicle dealers,128325
2024-07-01,4411,Automobile dealers,119163
2024-07-01,44111,New car dealers,105392
2024-07-01,44112,Used car dealers,13771
2024-07-01,4413,"Automotive parts, acc., and tire stores",12031
2024-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",19050
2024-07-01,442,Furniture and home furnishings stores,11391
2024-07-01,4421,Furniture stores,6157
2024-07-01,443,Electronics and appliance stores,7659
2024-07-01,443141,Household appliance stores,1942
2024-07-01,443142,Electronics stores,5717
2024-07-01,444,Building mat. and garden equip. and supplies dealers,44088
2024-07-01,4441,Building mat. and supplies dealers,39157
2024-07-01,44412,Paint and wallpaper stores,1632
2024-07-01,44413,Hardware stores,3664
2024-07-01,445,Food and beverage stores,85233
2024-07-01,4451,Grocery stores,76240
2024-07-01,44511,Supermarkets and other grocery (except convenience) stores,72737
2024-07-01,4453,"Beer, wine, and liquor stores",6375
2024-07-01,446,Health and personal care stores,37342
2024-07-01,44611,Pharmacies and drug stores,31642
2024-07-01,447,Gasoline stations,57467
2024-07-01,448,Clothing and clothing access. stores,25453
2024-07-01,4481,Clothing stores,18266
2024-07-01,44812,Women's clothing stores,2932
2024-07-01,44814,Family clothing stores,11085
2024-07-01,44819,Other clothing stores,1767
2024-07-01,4482,Shoe stores,3462
2024-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",7998
2024-07-01,45111,Sporting goods stores,5210
2024-07-01,45112,"Hobby, toy, and game stores",1513
2024-07-01,451211,Book stores,587
2024-07-01,452,General merchandise stores,74852
2024-07-01,4521,Department stores,10440
2024-07-01,452111,Department stores(excl. discount department stores),2123
2024-07-01,452112,Discount dept. stores,8317
2024-07-01,4529,Other general merchandise stores,64412
2024-07-01,45291,Warehouse clubs and superstores,55711
2024-07-01,45299,All other gen. merchandise stores,8701
2024-07-01,453,Miscellaneous store retailers,15482
2024-07-01,4532,"Office supplies, stationery, and gift stores",2605
2024-07-01,45321,Office supplies and stationery stores,697
2024-07-01,45322,"Gift, novelty, and souvenir stores",1908
2024-07-01,45330,Used merchandise stores,2063
2024-07-01,454,Nonstore retailers,121988
2024-07-01,4541,Electronic shopping and mail-order houses,113927
2024-07-01,45431,Fuel dealers,2025
2024-07-01,722,Food services and drinking places,96789
2024-07-01,7225,Restaurants and other eating places,87472
2024-07-01,"722513, 722514, 722515",Limited service eating places,45004
2024-06-01,no code,"Retail and food services sales, total",701555
2024-06-01,no code,Retail sales and food services excl motor vehicle and parts,570931
2024-06-01,no code,Retail sales and food services excl gasoline stations,646232
2024-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,515608
2024-06-01,no code,"Retail sales, total",604360
2024-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",473736
2024-06-01,441,Motor vehicle and parts dealers,130624
2024-06-01,"44,114,412",Automobile and other motor vehicle dealers,118881
2024-06-01,4411,Automobile dealers,109412
2024-06-01,44111,New car dealers,96318
2024-06-01,44112,Used car dealers,13094
2024-06-01,4413,"Automotive parts, acc., and tire stores",11743
2024-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",18107
2024-06-01,442,Furniture and home furnishings stores,10826
2024-06-01,4421,Furniture stores,5885
2024-06-01,443,Electronics and appliance stores,7281
2024-06-01,443141,Household appliance stores,1858
2024-06-01,443142,Electronics stores,5423
2024-06-01,444,Building mat. and garden equip. and supplies dealers,43795
2024-06-01,4441,Building mat. and supplies dealers,37893
2024-06-01,44412,Paint and wallpaper stores,1597
2024-06-01,44413,Hardware stores,3862
2024-06-01,445,Food and beverage stores,82828
2024-06-01,4451,Grocery stores,73990
2024-06-01,44511,Supermarkets and other grocery (except convenience) stores,70383
2024-06-01,4453,"Beer, wine, and liquor stores",6273
2024-06-01,446,Health and personal care stores,35656
2024-06-01,44611,Pharmacies and drug stores,29587
2024-06-01,447,Gasoline stations,55323
2024-06-01,448,Clothing and clothing access. stores,25121
2024-06-01,4481,Clothing stores,18126
2024-06-01,44812,Women's clothing stores,2845
2024-06-01,44814,Family clothing stores,10921
2024-06-01,44819,Other clothing stores,1840
2024-06-01,4482,Shoe stores,2969
2024-06-01,451,"Sporting goods, hobby, musical instrument, and book stores",8152
2024-06-01,45111,Sporting goods stores,5399
2024-06-01,45112,"Hobby, toy, and game stores",1488
2024-06-01,451211,Book stores,593
2024-06-01,452,General merchandise stores,75183
2024-06-01,4521,Department stores,10569
2024-06-01,452111,Department stores(excl. discount department stores),2339
2024-06-01,452112,Discount dept. stores,8230
2024-06-01,4529,Other general merchandise stores,64614
2024-06-01,45291,Warehouse clubs and superstores,55582
2024-06-01,45299,All other gen. merchandise stores,9032
2024-06-01,453,Miscellaneous store retailers,15739
2024-06-01,4532,"Office supplies, stationery, and gift stores",2652
2024-06-01,45321,Office supplies and stationery stores,596
2024-06-01,45322,"Gift, novelty, and souvenir stores",2056
2024-06-01,45330,Used merchandise stores,2023
2024-06-01,454,Nonstore retailers,113832
2024-06-01,4541,Electronic shopping and mail-order houses,106244
2024-06-01,45431,Fuel dealers,1829
2024-06-01,722,Food services and drinking places,97195
2024-06-01,7225,Restaurants and other eating places,87201
2024-06-01,"722513, 722514, 722515",Limited service eating places,44465
2024-05-01,no code,"Retail and food services sales, total",744554
2024-05-01,no code,Retail sales and food services excl motor vehicle and parts,599690
2024-05-01,no code,Retail sales and food services excl gasoline stations,686946
2024-05-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,542082
2024-05-01,no code,"Retail sales, total",643843
2024-05-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",498979
2024-05-01,no code,GAFO(1),134944
2024-05-01,441,Motor vehicle and parts dealers,144864
2024-05-01,"44,114,412",Automobile and other motor vehicle dealers,132656
2024-05-01,4411,Automobile dealers,122586
2024-05-01,44111,New car dealers,108436
2024-05-01,44112,Used car dealers,14150
2024-05-01,4413,"Automotive parts, acc., and tire stores",12208
2024-05-01,"442,443","Furniture, home furn, electronics, and appliance stores",19075
2024-05-01,442,Furniture and home furnishings stores,11431
2024-05-01,4421,Furniture stores,6007
2024-05-01,443,Electronics and appliance stores,7644
2024-05-01,443141,Household appliance stores,1876
2024-05-01,443142,Electronics stores,5768
2024-05-01,444,Building mat. and garden equip. and supplies dealers,48452
2024-05-01,4441,Building mat. and supplies dealers,41316
2024-05-01,44412,Paint and wallpaper stores,1650
2024-05-01,44413,Hardware stores,4030
2024-05-01,445,Food and beverage stores,85908
2024-05-01,4451,Grocery stores,76837
2024-05-01,44511,Supermarkets and other grocery (except convenience) stores,73068
2024-05-01,4453,"Beer, wine, and liquor stores",6385
2024-05-01,446,Health and personal care stores,37256
2024-05-01,44611,Pharmacies and drug stores,31139
2024-05-01,447,Gasoline stations,57608
2024-05-01,448,Clothing and clothing access. stores,27562
2024-05-01,4481,Clothing stores,19691
2024-05-01,44812,Women's clothing stores,3416
2024-05-01,44814,Family clothing stores,11542
2024-05-01,44819,Other clothing stores,1763
2024-05-01,4482,Shoe stores,3224
2024-05-01,451,"Sporting goods, hobby, musical instrument, and book stores",8020
2024-05-01,45111,Sporting goods stores,5128
2024-05-01,45112,"Hobby, toy, and game stores",1544
2024-05-01,451211,Book stores,634
2024-05-01,452,General merchandise stores,77840
2024-05-01,4521,Department stores,11054
2024-05-01,452111,Department stores(excl. discount department stores),2643
2024-05-01,452112,Discount dept. stores,8411
2024-05-01,4529,Other general merchandise stores,66786
2024-05-01,45291,Warehouse clubs and superstores,57041
2024-05-01,45299,All other gen. merchandise stores,9745
2024-05-01,453,Miscellaneous store retailers,16610
2024-05-01,4532,"Office supplies, stationery, and gift stores",2447
2024-05-01,45321,Office supplies and stationery stores,644
2024-05-01,45322,"Gift, novelty, and souvenir stores",1803
2024-05-01,45330,Used merchandise stores,2220
2024-05-01,454,Nonstore retailers,120648
