month,naics_code,kind_of_business,value
2019-09-01,45431,Fuel dealers,2037
2019-09-01,722,Food services and drinking places,63715
2019-09-01,7225,Restaurants and other eating places,54560
2019-09-01,722511,Full service restaurants,26710
2019-09-01,"722513, 722514, 722515",Limited service eating places,27850
2019-08-01,no code,"Retail and food services sales, total",541266
2019-08-01,no code,Retail sales and food services excl motor vehicle and parts,427092
2019-08-01,no code,Retail sales and food services excl gasoline stations,495210
2019-08-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,381036
2019-08-01,no code,"Retail sales, total",472933
2019-08-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",358759
2019-08-01,no code,GAFO(1),114173
2019-08-01,441,Motor vehicle and parts dealers,114174
2019-08-01,"44,114,412",Automobile and other motor vehicle dealers,105486
2019-08-01,4411,Automobile dealers,98416
2019-08-01,44111,Automobile dealers,87832
2019-08-01,44112,Used car dealers,10584
2019-08-01,4413,"Automotive parts, acc., and tire stores",8688
2019-08-01,"442,443","Furniture, home furn, electronics, and appliance stores",18163
2019-08-01,442,Furniture and home furnishings stores,10618
2019-08-01,4421,Furniture stores,5714
2019-08-01,4422,Home furnishings stores,4904
2019-08-01,442299,All other home furnishings stores,2573
2019-08-01,443,Electronics and appliance stores,7545
2019-08-01,443141,Household appliance stores,1500
2019-08-01,443142,Electronics stores,6045
2019-08-01,444,Building mat. and garden equip. and supplies dealers,32355
2019-08-01,4441,Building mat. and supplies dealers,28888
2019-08-01,44412,Paint and wallpaper stores,1249
2019-08-01,44413,Hardware stores,2505
2019-08-01,445,Food and beverage stores,67057
2019-08-01,4451,Grocery stores,60079
2019-08-01,44511,Supermarkets and other grocery (except convenience) stores,57143
2019-08-01,4453,"Beer, wine, and liquor stores",5025
2019-08-01,446,Health and personal care stores,28989
2019-08-01,44611,Pharmacies and drug stores,24047
2019-08-01,447,Gasoline stations,46056
2019-08-01,448,Clothing and clothing access. stores,23767
2019-08-01,4481,Clothing stores,16969
2019-08-01,44811,Men's clothing stores,733
2019-08-01,44812,Women's clothing stores,3097
2019-08-01,44814,Family clothing stores,10046
2019-08-01,44819,Other clothing stores,1492
2019-08-01,4482,Shoe stores,4069
2019-08-01,44831,Jewelry stores,2502
2019-08-01,451,"Sporting goods, hobby, musical instrument, and book stores",7486
2019-08-01,45111,Sporting goods stores,4302
2019-08-01,45112,"Hobby, toy, and game stores",1246
2019-08-01,451211,Book stores,1106
2019-08-01,452,General merchandise stores,61912
2019-08-01,4521,Department stores,11743
2019-08-01,452111,Department stores(excl. discount department stores),3058
2019-08-01,452112,Discount dept. stores,8685
2019-08-01,4529,Other general merchandise stores,50169
2019-08-01,45291,Warehouse clubs and superstores,43497
2019-08-01,45299,All other gen. merchandise stores,6672
2019-08-01,453,Miscellaneous store retailers,11708
2019-08-01,4532,"Office supplies, stationery, and gift stores",2845
2019-08-01,45321,Office supplies and stationery stores,1258
2019-08-01,45322,"Gift, novelty, and souvenir stores",1587
2019-08-01,45330,Used merchandise stores,1644
2019-08-01,454,Nonstore retailers,61266
2019-08-01,4541,Electronic shopping and mail-order houses,54259
2019-08-01,45431,Fuel dealers,1951
2019-08-01,722,Food services and drinking places,68333
2019-08-01,7225,Restaurants and other eating places,59821
2019-08-01,722511,Full service restaurants,29499
2019-08-01,"722513, 722514, 722515",Limited service eating places,30322
2019-07-01,no code,"Retail and food services sales, total",527897
2019-07-01,no code,Retail sales and food services excl motor vehicle and parts,418903
2019-07-01,no code,Retail sales and food services excl gasoline stations,481383
2019-07-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,372389
2019-07-01,no code,"Retail sales, total",461608
2019-07-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",352614
2019-07-01,441,Motor vehicle and parts dealers,108994
2019-07-01,"44,114,412",Automobile and other motor vehicle dealers,100530
2019-07-01,4411,Automobile dealers,92928
2019-07-01,44111,Automobile dealers,82417
2019-07-01,44112,Used car dealers,10511
2019-07-01,4413,"Automotive parts, acc., and tire stores",8464
2019-07-01,"442,443","Furniture, home furn, electronics, and appliance stores",17407
2019-07-01,442,Furniture and home furnishings stores,10196
2019-07-01,4421,Furniture stores,5509
2019-07-01,4422,Home furnishings stores,4687
2019-07-01,442299,All other home furnishings stores,2450
2019-07-01,443,Electronics and appliance stores,7211
2019-07-01,443141,Household appliance stores,1560
2019-07-01,443142,Electronics stores,5651
2019-07-01,444,Building mat. and garden equip. and supplies dealers,33697
2019-07-01,4441,Building mat. and supplies dealers,29936
2019-07-01,44412,Paint and wallpaper stores,1235
2019-07-01,44413,Hardware stores,2498
2019-07-01,445,Food and beverage stores,66567
2019-07-01,4451,Grocery stores,59600
2019-07-01,44511,Supermarkets and other grocery (except convenience) stores,56678
2019-07-01,4453,"Beer, wine, and liquor stores",5001
2019-07-01,446,Health and personal care stores,28577
2019-07-01,44611,Pharmacies and drug stores,23908
2019-07-01,447,Gasoline stations,46514
2019-07-01,448,Clothing and clothing access. stores,21677
2019-07-01,4481,Clothing stores,15918
2019-07-01,44811,Men's clothing stores,684
2019-07-01,44812,Women's clothing stores,3027
2019-07-01,44814,Family clothing stores,9272
2019-07-01,44819,Other clothing stores,1466
2019-07-01,4482,Shoe stores,3154
2019-07-01,44831,Jewelry stores,2394
2019-07-01,451,"Sporting goods, hobby, musical instrument, and book stores",6531
2019-07-01,45111,Sporting goods stores,4073
2019-07-01,45112,"Hobby, toy, and game stores",1157
2019-07-01,451211,Book stores,580
2019-07-01,452,General merchandise stores,58881
2019-07-01,4521,Department stores,10779
2019-07-01,452111,Department stores(excl. discount department stores),2950
2019-07-01,452112,Discount dept. stores,7829
2019-07-01,4529,Other general merchandise stores,48102
2019-07-01,45291,Warehouse clubs and superstores,41548
2019-07-01,45299,All other gen. merchandise stores,6554
2019-07-01,453,Miscellaneous store retailers,11273
2019-07-01,4532,"Office supplies, stationery, and gift stores",2658
2019-07-01,45321,Office supplies and stationery stores,889
2019-07-01,45322,"Gift, novelty, and souvenir stores",1769
2019-07-01,45330,Used merchandise stores,1458
2019-07-01,454,Nonstore retailers,61490
2019-07-01,4541,Electronic shopping and mail-order houses,54649
2019-07-01,45431,Fuel dealers,1857
2019-07-01,722,Food services and drinking places,66289
2019-07-01,7225,Restaurants and other eating places,59033
2019-07-01,722511,Full service restaurants,28867
2019-07-01,"722513, 722514, 722515",Limited service eating places,30166
2019-06-01,no code,"Retail and food services sales, total",514174
2019-06-01,no code,Retail sales and food services excl motor vehicle and parts,409638
2019-06-01,no code,Retail sales and food services excl gasoline stations,469223
2019-06-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,364687
2019-06-01,no code,"Retail sales, total",448131
2019-06-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",343595
2019-06-01,no code,GAFO(1),105802
2019-06-01,441,Motor vehicle and parts dealers,104536
2019-06-01,"44,114,412",Automobile and other motor vehicle dealers,96399
2019-06-01,4411,Automobile dealers,88500
2019-06-01,44111,Automobile dealers,78143
2019-06-01,44112,Used car dealers,10357
2019-06-01,4413,"Automotive parts, acc., and tire stores",8137
2019-06-01,"442,443","Furniture, home furn, electronics, and appliance stores",16790
2019-06-01,442,Furniture and home furnishings stores,9765
2019-06-01,4421,Furniture stores,5350
2019-06-01,4422,Home furnishings stores,4415
2019-06-01,442299,All other home furnishings stores,2198
2019-06-01,443,Electronics and appliance stores,7025
2019-06-01,443141,Household appliance stores,1430
2019-06-01,443142,Electronics stores,5595
2019-06-01,444,Building mat. and garden equip. and supplies dealers,33542
2019-06-01,4441,Building mat. and supplies dealers,29294
2019-06-01,44412,Paint and wallpaper stores,1158
2019-06-01,44413,Hardware stores,2548
2019-06-01,445,Food and beverage stores,64707
2019-06-01,4451,Grocery stores,58029
2019-06-01,44511,Supermarkets and other grocery (except convenience) stores,55192
2019-06-01,4453,"Beer, wine, and liquor stores",4768
2019-06-01,446,Health and personal care stores,28013
2019-06-01,44611,Pharmacies and drug stores,23125
2019-06-01,447,Gasoline stations,44951
2019-06-01,448,Clothing and clothing access. stores,21042
2019-06-01,4481,Clothing stores,15682
2019-06-01,44811,Men's clothing stores,752
2019-06-01,44812,Women's clothing stores,3038
2019-06-01,44814,Family clothing stores,9043
2019-06-01,44819,Other clothing stores,1490
2019-06-01,4482,Shoe stores,2845
2019-06-01,44831,Jewelry stores,2284
2019-06-01,451,"Sporting goods, hobby, musical instrument, and book stores",6557
2019-06-01,45111,Sporting goods stores,4096
2019-06-01,45112,"Hobby, toy, and game stores",1149
2019-06-01,451211,Book stores,602
2019-06-01,452111,Department stores(excl. discount department stores),3018
2019-06-01,452112,Discount dept. stores,7559
2019-06-01,4529,Other general merchandise stores,48425
2019-06-01,45291,Warehouse clubs and superstores,41732
2019-06-01,45299,All other gen. merchandise stores,6693
2019-06-01,453,Miscellaneous store retailers,11231
2019-06-01,4532,"Office supplies, stationery, and gift stores",2411
2019-06-01,45321,Office supplies and stationery stores,749
2019-06-01,45322,"Gift, novelty, and souvenir stores",1662
2019-06-01,45330,Used merchandise stores,1405
2019-06-01,454,Nonstore retailers,57760
2019-06-01,4541,Electronic shopping and mail-order houses,51067
2019-06-01,45431,Fuel dealers,1785
2019-06-01,722,Food services and drinking places,66043
2019-06-01,7225,Restaurants and other eating places,58479
2019-06-01,722511,Full service restaurants,28788
2019-06-01,"722513, 722514, 722515",Limited service eating places,29691
2019-05-01,no code,"Retail and food services sales, total",543094
2019-05-01,no code,Retail sales and food services excl motor vehicle and parts,431302
2019-05-01,no code,Retail sales and food services excl gasoline stations,495626
2019-05-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,383834
2019-05-01,no code,"Retail sales, total",475630
2019-05-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",363838
2019-05-01,no code,GAFO(1),110345
2019-05-01,441,Motor vehicle and parts dealers,111792
2019-05-01,"44,114,412",Automobile and other motor vehicle dealers,103235
2019-05-01,4411,Automobile dealers,94816
2019-05-01,44111,Automobile dealers,83947
2019-05-01,44112,Used car dealers,10869
2019-05-01,4413,"Automotive parts, acc., and tire stores",8557
2019-05-01,"442,443","Furniture, home furn, electronics, and appliance stores",17472
2019-05-01,442,Furniture and home furnishings stores,10313
2019-05-01,4421,Furniture stores,5590
2019-05-01,4422,Home furnishings stores,4723
2019-05-01,442299,All other home furnishings stores,2480
2019-05-01,443,Electronics and appliance stores,7159
2019-05-01,443141,Household appliance stores,1504
2019-05-01,443142,Electronics stores,5655
2019-05-01,444,Building mat. and garden equip. and supplies dealers,37309
2019-05-01,4441,Building mat. and supplies dealers,32260
2019-05-01,44412,Paint and wallpaper stores,1174
2019-05-01,44413,Hardware stores,2781
2019-05-01,445,Food and beverage stores,66807
2019-05-01,4451,Grocery stores,59958
2019-05-01,44511,Supermarkets and other grocery (except convenience) stores,57051
2019-05-01,4453,"Beer, wine, and liquor stores",4865
2019-05-01,446,Health and personal care stores,29827
2019-05-01,44611,Pharmacies and drug stores,25030
2019-05-01,447,Gasoline stations,47468
2019-05-01,448,Clothing and clothing access. stores,22995
2019-05-01,4481,Clothing stores,16788
2019-05-01,44811,Men's clothing stores,862
2019-05-01,44812,Women's clothing stores,3556
2019-05-01,44814,Family clothing stores,9426
2019-05-01,44819,Other clothing stores,1390
2019-05-01,4482,Shoe stores,3064
2019-05-01,44831,Jewelry stores,2887
2019-05-01,451,"Sporting goods, hobby, musical instrument, and book stores",6410
2019-05-01,45111,Sporting goods stores,3762
2019-05-01,45112,"Hobby, toy, and game stores",1214
2019-05-01,451211,Book stores,683
2019-05-01,452,General merchandise stores,60925
2019-05-01,4521,Department stores,11243
2019-05-01,452111,Department stores(excl. discount department stores),3292
2019-05-01,452112,Discount dept. stores,7951
2019-05-01,4529,Other general merchandise stores,49682
2019-05-01,45291,Warehouse clubs and superstores,42597
2019-05-01,45299,All other gen. merchandise stores,7085
2019-05-01,453,Miscellaneous store retailers,12416
2019-05-01,4532,"Office supplies, stationery, and gift stores",2543
2019-05-01,45321,Office supplies and stationery stores,826
2019-05-01,45322,"Gift, novelty, and souvenir stores",1717
2019-05-01,45330,Used merchandise stores,1403
2019-05-01,454,Nonstore retailers,62209
2019-05-01,4541,Electronic shopping and mail-order houses,54813
2019-05-01,45431,Fuel dealers,2196
2019-05-01,722,Food services and drinking places,67464
2019-05-01,7225,Restaurants and other eating places,59244
2019-05-01,722511,Full service restaurants,29241
2019-05-01,"722513, 722514, 722515",Limited service eating places,30003
2019-04-01,no code,"Retail and food services sales, total",505674
2019-04-01,no code,Retail sales and food services excl motor vehicle and parts,402237
2019-04-01,no code,Retail sales and food services excl gasoline stations,461298
2019-04-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,357861
2019-04-01,no code,"Retail sales, total",442504
2019-04-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",339067
2019-04-01,no code,GAFO(1),102837
2019-04-01,441,Motor vehicle and parts dealers,103437
2019-04-01,"44,114,412",Automobile and other motor vehicle dealers,95153
2019-04-01,4411,Automobile dealers,87635
2019-04-01,44111,Automobile dealers,76936
2019-04-01,44112,Used car dealers,10699
2019-04-01,4413,"Automotive parts, acc., and tire stores",8284
2019-04-01,"442,443","Furniture, home furn, electronics, and appliance stores",16116
2019-04-01,442,Furniture and home furnishings stores,9590
2019-04-01,4421,Furniture stores,5080
2019-04-01,4422,Home furnishings stores,4510
2019-04-01,442299,All other home furnishings stores,2300
2019-04-01,443,Electronics and appliance stores,6526
2019-04-01,443141,Household appliance stores,1339
2019-04-01,443142,Electronics stores,5187
2019-04-01,444,Building mat. and garden equip. and supplies dealers,34109
2019-04-01,4441,Building mat. and supplies dealers,29290
2019-04-01,44412,Paint and wallpaper stores,966
2019-04-01,44511,Supermarkets and other grocery (except convenience) stores,53632
2019-04-01,4453,"Beer, wine, and liquor stores",4364
2019-04-01,446,Health and personal care stores,28791
2019-04-01,44611,Pharmacies and drug stores,24222
2019-04-01,447,Gasoline stations,44376
2019-04-01,448,Clothing and clothing access. stores,21394
2019-04-01,4481,Clothing stores,15746
2019-04-01,44811,Men's clothing stores,854
2019-04-01,44812,Women's clothing stores,3333
2019-04-01,44814,Family clothing stores,8789
2019-04-01,44819,Other clothing stores,1291
2019-04-01,4482,Shoe stores,3080
2019-04-01,44831,Jewelry stores,2370
2019-04-01,451,"Sporting goods, hobby, musical instrument, and book stores",6146
2019-04-01,45111,Sporting goods stores,3615
2019-04-01,45112,"Hobby, toy, and game stores",1140
2019-04-01,451211,Book stores,638
2019-04-01,452,General merchandise stores,56983
2019-04-01,4521,Department stores,10405
2019-04-01,452111,Department stores(excl. discount department stores),3106
2019-04-01,452112,Discount dept. stores,7299
2019-04-01,4529,Other general merchandise stores,46578
2019-04-01,45291,Warehouse clubs and superstores,39907
2019-04-01,45299,All other gen. merchandise stores,6671
2019-04-01,453,Miscellaneous store retailers,10634
2019-04-01,4532,"Office supplies, stationery, and gift stores",2198
2019-04-01,45321,Office supplies and stationery stores,846
2019-04-01,45322,"Gift, novelty, and souvenir stores",1352
2019-04-01,45330,Used merchandise stores,1605
2019-04-01,454,Nonstore retailers,57914
2019-04-01,4541,Electronic shopping and mail-order houses,50609
2019-04-01,45431,Fuel dealers,2618
2019-04-01,722,Food services and drinking places,63170
2019-04-01,7225,Restaurants and other eating places,55241
2019-04-01,722511,Full service restaurants,26710
2019-04-01,"722513, 722514, 722515",Limited service eating places,28531
2019-03-01,no code,"Retail and food services sales, total",512587
2019-03-01,no code,Retail sales and food services excl motor vehicle and parts,402137
2019-03-01,no code,Retail sales and food services excl gasoline stations,470419
2019-03-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,359969
2019-03-01,no code,"Retail sales, total",446781
2019-03-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",336331
2019-03-01,no code,GAFO(1),106253
2019-03-01,441,Motor vehicle and parts dealers,110450
2019-03-01,"44,114,412",Automobile and other motor vehicle dealers,102032
2019-03-01,4411,Automobile dealers,94949
2019-03-01,44111,Automobile dealers,82611
2019-03-01,44112,Used car dealers,12338
2019-03-01,4413,"Automotive parts, acc., and tire stores",8418
2019-03-01,"442,443","Furniture, home furn, electronics, and appliance stores",17268
2019-03-01,442,Furniture and home furnishings stores,10027
2019-03-01,4421,Furniture stores,5519
2019-03-01,4422,Home furnishings stores,4508
2019-03-01,442299,All other home furnishings stores,2353
2019-03-01,443,Electronics and appliance stores,7241
2019-03-01,443141,Household appliance stores,1365
2019-03-01,443142,Electronics stores,5876
2019-03-01,444,Building mat. and garden equip. and supplies dealers,30005
2019-03-01,4441,Building mat. and supplies dealers,25933
2019-03-01,44412,Paint and wallpaper stores,1011
2019-03-01,44413,Hardware stores,2307
2019-03-01,445,Food and beverage stores,63787
2019-03-01,4451,Grocery stores,57503
2019-03-01,44511,Supermarkets and other grocery (except convenience) stores,54928
2019-03-01,4453,"Beer, wine, and liquor stores",4446
2019-03-01,446,Health and personal care stores,29122
2019-03-01,44611,Pharmacies and drug stores,24008
2019-03-01,447,Gasoline stations,42168
2019-03-01,448,Clothing and clothing access. stores,21969
2019-03-01,4481,Clothing stores,16156
2019-03-01,44811,Men's clothing stores,736
2019-03-01,44812,Women's clothing stores,3339
2019-03-01,44814,Family clothing stores,9103
2019-03-01,44819,Other clothing stores,1464
2019-03-01,4482,Shoe stores,3417
2019-03-01,44831,Jewelry stores,2194
2019-03-01,451,"Sporting goods, hobby, musical instrument, and book stores",6247
2019-03-01,45111,Sporting goods stores,3636
2019-03-01,45112,"Hobby, toy, and game stores",1246
2019-03-01,451211,Book stores,592
2019-03-01,452,General merchandise stores,58590
2019-03-01,4521,Department stores,10592
2019-03-01,452111,Department stores(excl. discount department stores),3085
2019-03-01,452112,Discount dept. stores,7507
2019-03-01,4529,Other general merchandise stores,47998
2019-03-01,45291,Warehouse clubs and superstores,41411
2019-03-01,45299,All other gen. merchandise stores,6587
2019-03-01,453,Miscellaneous store retailers,10124
2019-03-01,4532,"Office supplies, stationery, and gift stores",2179
2019-03-01,45321,Office supplies and stationery stores,887
2019-03-01,45322,"Gift, novelty, and souvenir stores",1292
2019-03-01,45330,Used merchandise stores,1529
2019-03-01,454,Nonstore retailers,57051
2019-03-01,4541,Electronic shopping and mail-order houses,48782
2019-03-01,45431,Fuel dealers,3749
2019-03-01,722,Food services and drinking places,65806
2019-03-01,7225,Restaurants and other eating places,57771
2019-03-01,722511,Full service restaurants,28186
2019-03-01,"722513, 722514, 722515",Limited service eating places,29585
2019-02-01,no code,"Retail and food services sales, total",441374
2019-02-01,no code,Retail sales and food services excl motor vehicle and parts,351567
2019-02-01,no code,Retail sales and food services excl gasoline stations,405775
2019-02-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,315968
2019-02-01,no code,"Retail sales, total",384814
2019-02-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",295007
2019-02-01,441,Motor vehicle and parts dealers,89807
2019-02-01,"44,114,412",Automobile and other motor vehicle dealers,82675
2019-02-01,4411,Automobile dealers,77690
2019-02-01,44111,Automobile dealers,67617
2019-02-01,44112,Used car dealers,10073
2019-02-01,4413,"Automotive parts, acc., and tire stores",7132
2019-02-01,"442,443","Furniture, home furn, electronics, and appliance stores",15247
2019-02-01,442,Furniture and home furnishings stores,8637
2019-02-01,4421,Furniture stores,4627
2019-02-01,4422,Home furnishings stores,4010
2019-02-01,442299,All other home furnishings stores,2089
2019-02-01,443,Electronics and appliance stores,6610
2019-02-01,443141,Household appliance stores,1200
2019-02-01,443142,Electronics stores,5410
2019-02-01,444,Building mat. and garden equip. and supplies dealers,24116
2019-02-01,4441,Building mat. and supplies dealers,21117
2019-02-01,44412,Paint and wallpaper stores,845
2019-02-01,44413,Hardware stores,1885
2019-02-01,445,Food and beverage stores,57122
2019-02-01,4451,Grocery stores,51505
2019-02-01,44511,Supermarkets and other grocery (except convenience) stores,49263
2019-02-01,4453,"Beer, wine, and liquor stores",3919
2019-02-01,446,Health and personal care stores,27087
2019-02-01,44611,Pharmacies and drug stores,22729
2019-02-01,447,Gasoline stations,35599
2019-02-01,448,Clothing and clothing access. stores,17898
2019-02-01,4481,Clothing stores,12489
2019-02-01,44811,Men's clothing stores,594
2019-02-01,44812,Women's clothing stores,2501
2019-02-01,44814,Family clothing stores,6938
2019-02-01,44819,Other clothing stores,1219
2019-02-01,4482,Shoe stores,2745
2019-02-01,44831,Jewelry stores,2483
2019-02-01,451,"Sporting goods, hobby, musical instrument, and book stores",5161
2019-02-01,45111,Sporting goods stores,2826
2019-02-01,45112,"Hobby, toy, and game stores",1072
2019-02-01,451211,Book stores,573
2019-02-01,452,General merchandise stores,50635
2019-02-01,4521,Department stores,9108
2019-02-01,452111,Department stores(excl. discount department stores),2652
2019-02-01,452112,Discount dept. stores,6456
2019-02-01,4529,Other general merchandise stores,41527
2019-02-01,45291,Warehouse clubs and superstores,35744
2019-02-01,45299,All other gen. merchandise stores,5783
2019-02-01,453,Miscellaneous store retailers,9011
2019-02-01,4532,"Office supplies, stationery, and gift stores",1958
2019-02-01,45321,Office supplies and stationery stores,831
2019-02-01,45322,"Gift, novelty, and souvenir stores",1127
2019-02-01,45330,Used merchandise stores,1328
2019-02-01,454,Nonstore retailers,53131
2019-02-01,4541,Electronic shopping and mail-order houses,44858
2019-02-01,722,Food services and drinking places,56560
2019-02-01,7225,Restaurants and other eating places,49623
2019-02-01,722511,Full service restaurants,24666
2019-02-01,"722513, 722514, 722515",Limited service eating places,24957
2019-01-01,no code,"Retail and food services sales, total",455716
2019-01-01,no code,Retail sales and food services excl motor vehicle and parts,367659
2019-01-01,no code,Retail sales and food services excl gasoline stations,419154
2019-01-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,331097
2019-01-01,no code,"Retail sales, total",399276
2019-01-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",311219
2019-01-01,no code,GAFO(1),91766
2019-01-01,441,Motor vehicle and parts dealers,88057
2019-01-01,"44,114,412",Automobile and other motor vehicle dealers,80778
2019-01-01,4411,Automobile dealers,76320
2019-01-01,44111,Automobile dealers,67130
2019-01-01,44112,Used car dealers,9190
2019-01-01,4413,"Automotive parts, acc., and tire stores",7279
2019-01-01,"442,443","Furniture, home furn, electronics, and appliance stores",16030
2019-01-01,442,Furniture and home furnishings stores,8820
2019-01-01,4421,Furniture stores,4635
2019-01-01,4422,Home furnishings stores,4185
2019-01-01,442299,All other home furnishings stores,2248
2019-01-01,443,Electronics and appliance stores,7210
2019-01-01,443141,Household appliance stores,1219
2019-01-01,443142,Electronics stores,5991
2019-01-01,444,Building mat. and garden equip. and supplies dealers,26709
2019-01-01,4441,Building mat. and supplies dealers,23497
2019-01-01,44412,Paint and wallpaper stores,897
2019-01-01,44413,Hardware stores,2059
2019-01-01,445,Food and beverage stores,63072
2019-01-01,4451,Grocery stores,57413
2019-01-01,44511,Supermarkets and other grocery (except convenience) stores,55129
2019-01-01,4453,"Beer, wine, and liquor stores",3939
2019-01-01,446,Health and personal care stores,28871
2019-01-01,44611,Pharmacies and drug stores,24464
2019-01-01,447,Gasoline stations,36562
2019-01-01,448,Clothing and clothing access. stores,16096
2019-01-01,4481,Clothing stores,11930
2019-01-01,44811,Men's clothing stores,632
2019-01-01,44812,Women's clothing stores,2344
2019-01-01,44814,Family clothing stores,6633
2019-01-01,44819,Other clothing stores,1186
2019-01-01,4482,Shoe stores,2201
2019-01-01,44831,Jewelry stores,1796
2019-01-01,451,"Sporting goods, hobby, musical instrument, and book stores",5556
2019-01-01,45111,Sporting goods stores,2730
2019-01-01,45112,"Hobby, toy, and game stores",1117
2019-01-01,451211,Book stores,1005
2019-01-01,452,General merchandise stores,52032
2019-01-01,4521,Department stores,8708
2019-01-01,452111,Department stores(excl. discount department stores),2383
2019-01-01,452112,Discount dept. stores,6325
2019-01-01,4529,Other general merchandise stores,43324
2019-01-01,45291,Warehouse clubs and superstores,37432
2019-01-01,45299,All other gen. merchandise stores,5892
2019-01-01,453,Miscellaneous store retailers,9180
2019-01-01,4532,"Office supplies, stationery, and gift stores",2052
2019-01-01,45321,Office supplies and stationery stores,1010
2019-01-01,45322,"Gift, novelty, and souvenir stores",1042
2019-01-01,45330,Used merchandise stores,1336
2019-01-01,454,Nonstore retailers,57111
2019-01-01,4541,Electronic shopping and mail-order houses,47806
2019-01-01,45431,Fuel dealers,4665
2019-01-01,722,Food services and drinking places,56440
2019-01-01,7225,Restaurants and other eating places,49904
2019-01-01,722511,Full service restaurants,24623
2019-01-01,"722513, 722514, 722515",Limited service eating places,25281
2018-12-01,no code,"Retail and food services sales, total",555970
2018-12-01,no code,Retail sales and food services excl motor vehicle and parts,454783
2018-12-01,no code,Retail sales and food services excl gasoline stations,517647
2018-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,416460
2018-12-01,no code,"Retail sales, total",493444
2018-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",392257
2018-12-01,no code,GAFO(1),146293
2018-12-01,441,Motor vehicle and parts dealers,101187
2018-12-01,"44,114,412",Automobile and other motor vehicle dealers,93991
2018-12-01,4411,Automobile dealers,89581
2018-12-01,44111,New car dealers,80913
2018-12-01,44112,Used car dealers,8668
2018-12-01,4413,"Automotive parts, acc., and tire stores",7196
2018-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",22177
2018-12-01,442,Furniture and home furnishings stores,11134
2018-12-01,4421,Furniture stores,5430
2018-12-01,4422,Home furnishings stores,5704
2018-12-01,442299,All other home furnishings stores,3823
2018-12-01,443,Electronics and appliance stores,11043
2018-12-01,443141,Household appliance stores,1415
2019-02-01,7224,Drinking places,
2018-12-01,443142,Electronics stores,9628
2018-12-01,444,Building mat. and garden equip. and supplies dealers,27607
2018-12-01,4441,Building mat. and supplies dealers,24040
2018-12-01,44412,Paint and wallpaper stores,804
2018-12-01,44413,Hardware stores,2237
2018-12-01,445,Food and beverage stores,68243
2018-12-01,4451,Grocery stores,59404
2018-12-01,44511,Supermarkets and other grocery (except convenience) stores,56938
2018-12-01,4453,"Beer, wine, and liquor stores",6129
2018-12-01,446,Health and personal care stores,30885
2018-12-01,44611,Pharmacies and drug stores,24866
2018-12-01,447,Gasoline stations,38323
2018-12-01,448,Clothing and clothing access. stores,33954
2018-12-01,4481,Clothing stores,23553
2018-12-01,44811,Men's clothing stores,1014
2018-12-01,44814,Family clothing stores,13645
2018-12-01,44819,Other clothing stores,2191
2018-12-01,4482,Shoe stores,4217
2018-12-01,44831,Jewelry stores,5848
2018-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",9179
2018-12-01,45111,Sporting goods stores,4988
2018-12-01,45112,"Hobby, toy, and game stores",2086
2018-12-01,451211,Book stores,1120
2018-12-01,452,General merchandise stores,77925
2018-12-01,4521,Department stores,19120
2018-12-01,452111,Department stores(excl. discount department stores),6380
2018-12-01,452112,Discount dept. stores,12740
2018-12-01,4529,Other general merchandise stores,58805
2018-12-01,45291,Warehouse clubs and superstores,50331
2018-12-01,45299,All other gen. merchandise stores,8474
2018-12-01,453,Miscellaneous store retailers,11487
2018-12-01,4532,"Office supplies, stationery, and gift stores",3058
2018-12-01,45321,Office supplies and stationery stores,974
2018-12-01,45322,"Gift, novelty, and souvenir stores",2084
2018-12-01,45330,Used merchandise stores,1391
2018-12-01,454,Nonstore retailers,72477
2018-12-01,4541,Electronic shopping and mail-order houses,63611
2018-12-01,45431,Fuel dealers,4049
2018-12-01,722,Food services and drinking places,62526
2018-12-01,7225,Restaurants and other eating places,55109
2018-12-01,722511,Full service restaurants,28279
2018-12-01,"722513, 722514, 722515",Limited service eating places,26830
2018-11-01,no code,"Retail and food services sales, total",518353
2018-11-01,no code,Retail sales and food services excl motor vehicle and parts,423001
2018-11-01,no code,Retail sales and food services excl gasoline stations,476172
